Seed	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8	Gen 9	Gen 10	Gen 11	Gen 12	Gen 13	Gen 14	Gen 15	Gen 16	Gen 17	Gen 18	Gen 19	Final Fitness
0	50.0	49.0	49.0	46.0	46.0	46.0	46.0	46.0	46.0	46.0	46.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
1	46.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
2	50.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	44.0	44.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0
3	46.0	46.0	46.0	46.0	46.0	46.0	46.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
4	46.0	45.0	45.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
5	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
6	46.0	46.0	46.0	46.0	46.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
7	47.0	46.0	46.0	46.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
8	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
9	46.0	46.0	46.0	46.0	45.0	45.0	45.0	45.0	45.0	45.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
10	45.0	45.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
11	47.0	47.0	47.0	47.0	46.0	46.0	46.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	43.0	43.0	43.0	43.0	43.0	43.0
12	46.0	46.0	45.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
13	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
14	46.0	46.0	46.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0
15	47.0	46.0	46.0	45.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
16	49.0	43.0	43.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
17	46.0	46.0	46.0	46.0	45.0	45.0	45.0	44.0	44.0	44.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
18	45.0	45.0	45.0	45.0	45.0	45.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0
19	46.0	46.0	46.0	46.0	46.0	46.0	45.0	45.0	45.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0
