Geracao,media,queda_absoluta,queda_percentual
8,56.1,-0.19999999999999574,-0.35523978685612034
5,56.3,-0.20000000000000284,-0.3539823008849608
2,56.6,-0.19999999999999574,-0.3521126760563305
72309,53.2,-0.09999999999999432,-0.18761726078798185
41690,53.3,-0.10000000000000142,-0.18726591760299893
37852,53.4,-0.10000000000000142,-0.18691588785046995
31644,53.5,-0.10000000000000142,-0.18656716417910713
28717,53.6,-0.10000000000000142,-0.18621973929236763
19705,53.7,-0.09999999999999432,-0.18587360594794483
14808,53.8,-0.10000000000000142,-0.18552875695733104
